MinTemp,MaxTemp,Rainfall,Evaporation,WindGustSpeed,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
15.2,,4.8,6.4,46,,42,1016.8,1015,1,1,17.1,,Yes,No
15.1,20.4,0,9.6,39,,55,1017.5,1015.8,8,8,17.8,,No,Yes
15.3,19.6,18.8,5,33,,88,,1006,8,8,18,,Yes,Yes
17.2,24.7,12.2,1.4,50,80,71,1004.9,1004,7,8,19.4,21.9,Yes,No
15.9,19.9,0.8,5.6,48,73,58,1011.4,1012.1,8,7,17.4,18.6,No,No
10,22.5,0,4.4,33,55,46,1018.7,1016.8,1,2,14.7,22.2,No,No
9.9,24.4,0,5.8,28,60,38,1021.6,1019.2,1,4,16.2,22.7,No,No
10.3,27.8,0,6.4,35,64,29,1021.3,1018.1,3,6,,26.3,No,No
15.4,25.7,0,6.8,41,67,,1020.1,1016.9,7,7,17.6,24.6,No,No
12.7,28.8,0,7.4,28,70,28,1016.5,1012.4,1,5,18.3,28.3,No,No
13.2,31.3,0,6.6,46,71,28,1013.1,1009.5,1,4,19.7,30.7,No,No
15.3,33.2,0,9.4,44,60,18,,1012,0,1,22.4,32.1,No,No
17.9,33.9,0,10.4,46,72,22,1017.4,1014.6,1,1,,32.3,No,No
18,,0,9.2,69,,29,1018,1013.7,1,6,22.2,33.1,No,Yes
17.6,27.8,5.2,10.2,39,66,49,1014.6,1012.8,7,8,21.4,26.3,Yes,Yes
16,23.8,2.2,5.4,30,73,49,1018.9,1017.1,8,7,16.5,,Yes,No
14.9,28.8,0,5.8,30,71,44,1018.2,1014.5,7,2,19.1,27,No,No
17.1,29.6,0,5.8,,67,38,1016.7,,6,7,21.7,29.1,No,Yes
18.2,22.6,1.8,8,33,92,76,1014.4,1011.5,8,8,18.5,22.1,Yes,Yes
16.8,22.8,9,2.8,30,88,71,1010,1007.8,8,8,18.4,21.5,Yes,No
13.6,27.4,1,2.8,52,77,41,,997.5,4,7,18.7,26.5,No,No
14.5,24.2,0,6.8,61,76,76,999.4,998.9,7,7,17.9,20.3,No,Yes
